,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,2338900,133000,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.8551851851851852,0.41582996031224023,"[[129, 6], [12, 8]]"
1,2899100,141900,0.8903225806451613,0.8064671814671815,0.6175925925925926,0.6551498494961392,0.8777777777777778,0.37967496843100107,"[[133, 2], [15, 5]]"
2,6986700,187800,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.815925925925926,0.41582996031224023,"[[129, 6], [12, 8]]"
3,2437800,255100,0.9032258064516129,0.8443683409436834,0.6675925925925925,0.7146889188857528,0.8544444444444445,0.48047302969287153,"[[133, 2], [13, 7]]"
4,2069600,137100,0.8903225806451613,0.7607142857142857,0.7027777777777778,0.7262337662337662,0.8781481481481481,0.45985677549455983,"[[129, 6], [11, 9]]"
5,3170800,147000,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.8677777777777778,0.41582996031224023,"[[129, 6], [12, 8]]"
6,3427400,251900,0.8709677419354839,0.7039007092198581,0.6490740740740741,0.6696504688832055,0.8855555555555557,0.34869074797015975,"[[128, 7], [13, 7]]"
7,2127700,239900,0.9032258064516129,0.807421451787649,0.7101851851851851,0.7456514604529045,0.8403703703703703,0.5083913247642429,"[[131, 4], [11, 9]]"
8,5463800,158200,0.9032258064516129,0.807421451787649,0.7101851851851851,0.7456514604529045,0.8851851851851851,0.5083913247642429,"[[131, 4], [11, 9]]"
9,2508200,283600,0.8838709677419355,0.7517241379310344,0.6351851851851852,0.6678571428571429,0.8488888888888889,0.3689410478750663,"[[131, 4], [14, 6]]"
10,1573900,131300,0.8903225806451613,0.7730429292929293,0.6601851851851852,0.6953405017921147,0.8714814814814815,0.4182699233379962,"[[131, 4], [13, 7]]"
11,4439200,351500,0.8580645161290322,0.6719874100719425,0.6416666666666666,0.6542984590429846,0.8696296296296296,0.31218509313242476,"[[126, 9], [13, 7]]"
12,2050400,173100,0.8903225806451613,0.8064671814671815,0.6175925925925926,0.6551498494961392,0.8759259259259259,0.37967496843100107,"[[133, 2], [15, 5]]"
13,1962300,168900,0.9096774193548387,0.8932823129251701,0.6712962962962963,0.725177304964539,0.9211111111111112,0.5191061687282194,"[[134, 1], [13, 7]]"
14,2847200,140300,0.8774193548387097,0.7238095238095238,0.674074074074074,0.694025974025974,0.8425925925925926,0.3947628940318596,"[[128, 7], [12, 8]]"
15,3663800,139900,0.8903225806451613,0.7730429292929293,0.6601851851851852,0.6953405017921147,0.8807407407407407,0.4182699233379962,"[[131, 4], [13, 7]]"
16,3524400,259500,0.8774193548387097,0.7241161616161615,0.6314814814814814,0.6594982078853047,0.8988888888888888,0.34331982146818185,"[[130, 5], [14, 6]]"
17,2925800,312100,0.8709677419354839,0.6982758620689655,0.6064814814814814,0.6309523809523809,0.8600000000000001,0.29060425003857965,"[[130, 5], [15, 5]]"
18,6885700,168900,0.9032258064516129,0.821969696969697,0.6888888888888889,0.7311827956989247,0.8388888888888889,0.4932200252078105,"[[132, 3], [12, 8]]"
19,7617800,281700,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.807037037037037,0.41582996031224023,"[[129, 6], [12, 8]]"
