,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,5703300,139300,0.8612975391498882,0.7716791310541311,0.8002262888626525,0.784360410830999,0.9094188639643185,0.5711924974220581,"[[326, 37], [25, 59]]"
1,5905400,134300,0.854586129753915,0.7620602577499129,0.7960940574576938,0.776694104355445,0.9120752984389348,0.5571157330953086,"[[323, 40], [25, 59]]"
2,5531200,154300,0.8120805369127517,0.7057522123893805,0.7470484061393152,0.7214209401709402,0.8824281778827234,0.45091354439818876,"[[309, 54], [30, 54]]"
3,6013400,138300,0.8903803131991052,0.8139585510275166,0.8547323888232979,0.8316617094371815,0.9358848222484586,0.6674466774132364,"[[331, 32], [17, 67]]"
4,5764500,146500,0.8456375838926175,0.7476694653660946,0.7631345926800472,0.7548738327041526,0.8835432244523154,0.5105698929172865,"[[325, 38], [31, 53]]"
5,5728800,158800,0.8501118568232662,0.7568504594820384,0.8024891774891775,0.7752335922548688,0.8910205955660502,0.5574746065120424,"[[319, 44], [23, 61]]"
6,5494900,129300,0.8590604026845637,0.7687432038001487,0.8079988193624557,0.7853009568101247,0.9099435917617736,0.5754045167779956,"[[323, 40], [23, 61]]"
7,5773900,156000,0.8702460850111857,0.7868002319139342,0.7920110192837466,0.7893565160870979,0.9015807424898334,0.5787877954898594,"[[333, 30], [28, 56]]"
8,5469700,133200,0.8680089485458613,0.7818935666119919,0.8043585202676111,0.7921896792189679,0.9038436311163583,0.5858215045796293,"[[329, 34], [25, 59]]"
9,5749400,164400,0.8523489932885906,0.7593350383631714,0.7992916174734357,0.775970475669765,0.8988587170405352,0.5571958474333744,"[[321, 42], [24, 60]]"
10,5896000,142500,0.8702460850111857,0.7854409063074097,0.8057359307359306,0.7948373005824259,0.9196182605273514,0.5908283715598075,"[[330, 33], [25, 59]]"
11,5770600,126600,0.8680089485458613,0.7815221177290144,0.8180834317197954,0.7973069562610962,0.9173881673881674,0.5984898372145315,"[[326, 37], [22, 62]]"
12,5860600,158400,0.8791946308724832,0.7973205506391348,0.8569952774498228,0.8209134615384616,0.9341466614193886,0.6515889270604651,"[[324, 39], [15, 69]]"
13,5622600,118000,0.8680089485458613,0.7815343673095634,0.8226584022038568,0.7989326420920215,0.9036796536796536,0.6027916028664547,"[[325, 38], [21, 63]]"
14,5950200,120000,0.8747203579418344,0.792763772175537,0.8084907516725699,0.800191570881226,0.9049914731732913,0.6010488038118981,"[[332, 31], [25, 59]]"
15,6149600,160700,0.8702460850111857,0.7849448005698005,0.8148858717040535,0.7982726423902895,0.9314246359700905,0.5990829388822865,"[[328, 35], [23, 61]]"
16,5835400,113300,0.8702460850111857,0.7849448005698005,0.8148858717040535,0.7982726423902895,0.9174537583628493,0.5990829388822865,"[[328, 35], [23, 61]]"
17,5649300,146500,0.8747203579418344,0.7918901814236634,0.8176406926406926,0.8035904839620864,0.9158139839958022,0.6089866973996391,"[[330, 33], [23, 61]]"
